gene_symbol,fdr_bh_adj_p_primary,mean_transloc_primary,n_sg_primary,fdr_bh_adj_p_secondary_reporter,mean_transloc_secondary_reporter,n_sg_secondary_reporter,fdr_bh_adj_p_secondary_antibody,mean_transloc_secondary_antibody,n_sg_secondary_antibody
A1BG,0.9266319954908674,-0.008553679377689525,4.0,,,,,,
A1CF,0.560140551240226,-0.024340748458429134,4.0,,,,,,
A2M,0.7150860587440738,0.011183830142406584,4.0,,,,,,
A2ML1,0.4291972437583945,-0.00598222759229587,4.0,,,,,,
A3GALT2,0.3863230916459637,0.019270185678210643,4.0,,,,,,
A4GALT,0.7765020412401037,-0.010783536898607594,4.0,,,,,,
A4GNT,0.47573505967938723,0.007587257423263884,4.0,,,,,,
AACS,0.23939395701712002,-0.03358969896675655,4.0,,,,,,
AADAC,0.9134846508988356,0.0046937601371551405,4.0,,,,,,
AADACL2,0.43025737279495485,-0.03117370768821149,4.0,,,,,,
AADACL3,0.4971079785106196,-0.0004641432557919733,4.0,,,,,,
AADACL4,0.8624702575085765,-0.008519866428777924,4.0,,,,,,
AADAT,0.48523927500325986,-0.0016997939446222418,4.0,,,,,,
AAED1,0.18407954291576115,0.013656511070988822,4.0,,,,,,
AAGAB,0.887973711815519,-0.012720331556875413,3.0,,,,,,
AAK1,0.3903264113981401,0.010732023603488084,3.0,,,,,,
AAMDC,0.7472061549558116,-0.006673111528601686,4.0,,,,,,
AAMP,0.5617027616535801,0.03235528331990326,2.0,,,,,,
AANAT,0.7171898978203237,-0.01375199145942188,4.0,,,,,,
AAR2,0.8309790679694342,0.011023062457804374,4.0,,,,,,
AARD,0.6234358453240424,0.02131814671080281,4.0,,,,,,
AARS2,0.5580272183346572,0.0198861087719298,2.0,,,,,,
AARSD1,0.8953716178839066,-0.01863047369059633,4.0,,,,,,
AASDH,0.20130456628436583,-0.03018946839521984,4.0,,,,,,
AASS,0.6773843244260662,0.00937788639041816,3.0,,,,,,
AATF,0.8073556363099907,-0.018093157575757572,1.0,,,,,,
AATK,0.3390934159703179,-0.02002686298157071,4.0,,,,,,
ABAT,0.22489544630363095,0.030691176927587625,4.0,,,,,,
ABCA1,0.6749444872059288,-0.01432599003517348,3.0,,,,,,
ABCA10,0.20896812218478145,-0.05566466507713883,3.0,,,,,,
ABCA12,0.29272870814004787,-0.015577734019735345,4.0,,,,,,
ABCA13,0.8176879856664409,0.005161695837419607,4.0,,,,,,
ABCA2,0.15065900615083472,-0.052365598494051806,4.0,,,,,,
ABCA3,0.1421566535384851,0.001987621617726497,4.0,,,,,,
ABCA4,0.9121331224222831,-0.0026884872816044566,4.0,,,,,,
ABCA5,0.9723254226741829,-0.00037114149659869203,4.0,,,,,,
ABCA6,0.6191311880577994,-0.0007832397105203507,4.0,,,,,,
ABCA7,0.30630198639087713,-0.026822219732428217,4.0,,,,,,
ABCA8,0.9339557550431369,-0.009203023749220725,4.0,,,,,,
ABCA9,0.7654241063694919,0.0020595911301101643,4.0,,,,,,
ABCB1,0.5404236220433483,-0.011690281545002878,4.0,,,,,,
ABCB10,0.7442500094121463,-0.0012687356841927667,4.0,,,,,,
ABCB11,0.47818973137055526,-0.010833450068352747,4.0,,,,,,
ABCB4,0.7606398265174338,-0.004759188056216257,4.0,,,,,,
