,gene_symbol,Plasmid,2dDox,7dDox,InSitu
0,A1BG,3.9644702146303185e-05,2.6014833940262676e-05,3.9329610095195354e-05,4.365651506541075e-05
1,A1CF,6.23895793392143e-05,6.703998515658079e-05,6.788217539546597e-05,6.96807011519191e-05
2,A2M,4.8793479564680846e-05,3.4471374357621524e-05,3.781714547813074e-05,4.459942035840018e-05
3,A2ML1,5.489266451026595e-05,4.853070634287756e-05,5.2012492320051116e-05,5.827154710674697e-05
4,A3GALT2,5.069947486017618e-05,6.0138453044140064e-05,4.906235744485807e-05,4.2147866596627664e-05
5,A4GALT,3.710337508564272e-05,2.494372659589187e-05,3.2082066645790675e-05,3.535894848710374e-05
6,A4GNT,3.926350308720412e-05,2.5306008581825908e-05,3.126832462694563e-05,4.120496130363823e-05
7,AAAS,4.0407100264501326e-05,6.12314489522001e-05,1.6277762228412278e-05,6.977499168121804e-06
8,AACS,6.683690169537011e-05,6.771855794072387e-05,6.566295216473123e-05,5.685718916726282e-05
9,AADAC,3.2656052729486915e-05,4.61563693593812e-05,4.016221931673093e-05,5.1199757409326225e-05
10,AADACL2,4.8158147799515725e-05,6.143603219857464e-05,5.340782232192442e-05,4.6956683590873776e-05
11,AADACL3,6.010238498461989e-05,6.695765422664668e-05,6.391553322102253e-05,6.345752621818884e-05
12,AADACL4,5.57821289814971e-05,5.6751827914207025e-05,4.9238927984701654e-05,4.101638024504034e-05
13,AADAT,4.078829932360039e-05,4.4948243152348026e-05,9.285742610616268e-05,6.656911368505398e-05
14,AAED1,4.5743887091888294e-05,4.443927503747066e-05,4.8383982741281284e-05,5.855441869464379e-05
15,AAGAB,4.726868332828456e-05,4.448127571526817e-05,4.077544133983815e-05,1.848094374259289e-05
16,AAK1,3.8755237675072024e-05,3.2557245825798906e-05,3.007090517698072e-05,2.724996296739462e-05
17,AAMDC,6.874289699086545e-05,7.389079330910202e-05,5.49299211963848e-05,5.091688582142939e-05
