Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	positive regulation of TOR signaling (GO:0032008)	5/32	5.948926627781567e-10	1.9690947137956988e-07	0	0	167.8956228956229	3566.546295793005	FLCN;RRAGC;LAMTOR2;LAMTOR3;LAMTOR5
GO_Biological_Process_2018	regulation of TOR signaling (GO:0032006)	5/67	2.7629892024253715e-08	4.5727471300139895e-06	0	0	72.98753665689149	1270.3019186282472	FLCN;RRAGC;LAMTOR2;LAMTOR3;LAMTOR5
GO_Biological_Process_2018	cellular response to amino acid stimulus (GO:0071230)	4/32	9.22716797824952e-08	9.82906033556496e-06	0	0	123.88198757763978	2006.7059151398125	RRAGC;LAMTOR2;LAMTOR3;LAMTOR5
GO_Biological_Process_2018	response to amino acid (GO:0043200)	4/34	1.1878018532404785e-07	9.82906033556496e-06	0	0	115.61159420289854	1843.5414677232748	RRAGC;LAMTOR2;LAMTOR3;LAMTOR5
GO_Biological_Process_2018	transcription initiation from RNA polymerase II promoter (GO:0006367)	5/160	2.1549506988161084e-06	0.00013587874125175746	0	0	29.058651026392962	379.1498021574287	TAF6L;MED24;MED13;CCNC;MED16
GO_Biological_Process_2018	steroid hormone mediated signaling pathway (GO:0043401)	3/20	2.463058753808292e-06	0.00013587874125175746	0	0	146.7352941176471	1894.9552279490347	MED24;MED13;MED16
GO_Biological_Process_2018	cellular response to acid chemical (GO:0071229)	4/91	6.4956948783142685e-06	0.00028558177591670136	0	0	39.75212393803098	474.81411344837636	RRAGC;LAMTOR2;LAMTOR3;LAMTOR5
GO_Biological_Process_2018	regulation of autophagy (GO:0010506)	5/203	6.902278572004868e-06	0.00028558177591670136	0	0	22.6985766758494	269.7421443893639	FLCN;RRAGC;LAMTOR2;LAMTOR3;LAMTOR5
GO_Biological_Process_2018	cellular response to organonitrogen compound (GO:0071417)	4/97	8.374621903156133e-06	0.00030799998332718665	0	0	37.17625058438523	434.60169422724914	RRAGC;LAMTOR2;LAMTOR3;LAMTOR5
GO_Biological_Process_2018	regulation of macroautophagy (GO:0016241)	4/116	1.7006487827103687e-05	0.000562914747077132	0	0	30.840062111801238	338.68296074714783	RRAGC;LAMTOR2;LAMTOR3;LAMTOR5
GO_Biological_Process_2018	androgen receptor signaling pathway (GO:0030521)	3/40	2.096618787378939e-05	0.0006308916532931169	0	0	67.35135135135134	725.5491351779679	MED24;MED13;MED16
GO_Biological_Process_2018	endosome to lysosome transport (GO:0008333)	3/48	3.6440503532306654e-05	0.0009634411631287256	0	0	55.35555555555555	565.7243489302464	VPS11;VPS39;VPS16
GO_Biological_Process_2018	transcription from RNA polymerase II promoter (GO:0006366)	6/485	3.783907891442124e-05	0.0009634411631287256	0	0	11.627796003578885	118.39617418817387	TAF6L;MED24;MED13;CCNC;MED16;TAF5L
GO_Biological_Process_2018	regulation of SNARE complex assembly (GO:0035542)	2/9	6.281272926601724e-05	0.0014850723847894074	0	0	228.18285714285716	2207.749647985094	VPS11;VPS16
GO_Biological_Process_2018	endosomal vesicle fusion (GO:0034058)	2/10	7.845066309954509e-05	0.0017311446323966286	0	0	199.65	1887.2995610426367	VPS11;VPS39
GO_Biological_Process_2018	intracellular steroid hormone receptor signaling pathway (GO:0030518)	3/66	9.4862916503814e-05	0.0019624765851726524	0	0	39.503968253968246	365.92832710402826	MED24;MED13;MED16
GO_Biological_Process_2018	DNA-templated transcription, initiation (GO:0006352)	4/186	0.00010750777808824257	0.002093239679247546	0	0	18.911610129001435	172.81329782716304	MED24;MED13;CCNC;MED16
GO_Biological_Process_2018	lysosomal transport (GO:0007041)	3/72	0.00012297183225175418	0.002261315359740591	0	0	36.05797101449275	324.6499336874466	VPS11;VPS39;VPS16
GO_Biological_Process_2018	mitotic sister chromatid cohesion (GO:0007064)	2/15	0.00018229184189191621	0.003175715771906541	0	0	122.83076923076923	1057.5608400035376	MAU2;POGZ
GO_Biological_Process_2018	positive regulation of intracellular signal transduction (GO:1902533)	5/479	0.0004028509064136426	0.006667182501145786	0	0	9.349347909474492	73.08332926683985	FLCN;RRAGC;LAMTOR2;LAMTOR3;LAMTOR5
GO_Biological_Process_2018	cellular response to oxygen-containing compound (GO:1901701)	4/274	0.0004717851705222546	0.007436232925850774	0	0	12.691143317230274	97.20129943786041	RRAGC;LAMTOR2;LAMTOR3;LAMTOR5
GO_Biological_Process_2018	positive regulation of protein serine/threonine kinase activity (GO:0071902)	3/118	0.000528070055761084	0.007710870941139799	0	0	21.58478260869565	162.88484787655852	CAB39;PDCD10;CCNC
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	8/1478	0.0005429176516382967	0.007710870941139799	0	0	5.299820981023988	39.84698442741218	TADA2B;TAF6L;FLCN;MED13;STAT3;CCNC;PRDM1;MED16
GO_Biological_Process_2018	regulation of histone acetylation (GO:0035065)	2/26	0.0005590963824391394	0.007710870941139799	0	0	66.49666666666667	498.0060832764494	TADA2B;FLCN
GO_Biological_Process_2018	positive regulation of Notch signaling pathway (GO:0045747)	2/33	0.0009030432609384289	0.0119562927748248	0	0	51.463225806451604	360.7438374913855	PDCD10;STAT3
GO_Biological_Process_2018	transcription, DNA-templated (GO:0006351)	4/356	0.0012530082069595095	0.015951758327061447	0	0	9.694169960474307	64.77846057937504	TAF6L;RRAGC;MED16;TAF5L
GO_Biological_Process_2018	histone H3 acetylation (GO:0043966)	2/43	0.0015316216181504704	0.018567663793010447	0	0	38.89170731707318	252.0738094731918	TAF6L;TAF5L
GO_Biological_Process_2018	positive regulation of protein kinase activity (GO:0045860)	3/172	0.001570678508170068	0.018567663793010447	0	0	14.64792899408284	94.57065615187253	CAB39;PDCD10;MAP2K6
GO_Biological_Process_2018	positive regulation of protein phosphorylation (GO:0001934)	4/412	0.0021396775144275023	0.024421836457775976	0	0	8.339727195225919	51.26513833857282	FLCN;CAB39;PDCD10;CCNC
GO_Biological_Process_2018	regulation of vesicle fusion (GO:0031338)	2/61	0.0030578808122235105	0.03373861829486607	0	0	27.002033898305093	156.342671333605	VPS11;VPS16
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	6/1120	0.003262144730920455	0.034635502001509715	0	0	4.836881251602975	27.692936780099892	FLCN;MED24;MED13;STAT3;CCNC;MED16
GO_Biological_Process_2018	positive regulation of gene expression (GO:0010628)	5/771	0.003348447323408793	0.034635502001509715	0	0	5.69873012105388	32.478536230572374	MED24;MED13;PDCD10;STAT3;MED16
GO_Biological_Process_2018	endosomal transport (GO:0016197)	3/229	0.003537664217445057	0.035483844120433754	0	0	10.922013274336283	61.6469949609336	VPS11;VPS39;VPS16
GO_Biological_Process_2018	regulation of Notch signaling pathway (GO:0008593)	2/70	0.004005366311185982	0.03719807662197625	0	0	23.417647058823533	129.26822748331975	PDCD10;STAT3
GO_Biological_Process_2018	histone acetylation (GO:0016573)	2/71	0.004118045420461583	0.03719807662197625	0	0	23.07710144927536	126.7481329350467	TAF6L;TAF5L
GO_Biological_Process_2018	regulation of apoptotic process (GO:0042981)	5/815	0.0042457045723545824	0.03719807662197625	0	0	5.37682379349046	29.3673915728765	FLCN;PDCD10;STAT3;LAMTOR5;MAP2K6
GO_Biological_Process_2018	regulation of protein complex assembly (GO:0043254)	2/73	0.004347798807470599	0.03719807662197625	0	0	22.42478873239436	121.94792031249216	VPS11;VPS16
GO_Biological_Process_2018	positive regulation of nucleic acid-templated transcription (GO:1903508)	4/502	0.004352379884894403	0.03719807662197625	0	0	6.801117513532391	36.977896845247415	MED24;MED13;STAT3;MED16
GO_Biological_Process_2018	regulation of transcription, DNA-templated (GO:0006355)	7/1598	0.004382854949417141	0.03719807662197625	0	0	4.043808925204274	21.958104679236964	TADA2B;TAF6L;MED24;MED13;BTAF1;STAT3;MED16
GO_Biological_Process_2018	regulation of protein serine/threonine kinase activity (GO:0071900)	2/80	0.005197680769052132	0.0430108083639064	0	0	20.405128205128204	107.3216442944126	CAB39;PDCD10
GO_Biological_Process_2018	vesicle fusion (GO:0006906)	2/94	0.007106631219173753	0.05737304715967102	0	0	17.28782608695652	85.51815531993533	VPS11;VPS39
GO_Biological_Process_2018	T-helper 17 cell lineage commitment (GO:0072540)	1/6	0.00807362689081275	0.05739578898345672	0	0	153.6	740.2218192098323	STAT3
GO_Biological_Process_2018	photoreceptor cell differentiation (GO:0046530)	1/6	0.00807362689081275	0.05739578898345672	0	0	153.6	740.2218192098323	STAT3
GO_Biological_Process_2018	astrocyte differentiation (GO:0048708)	1/6	0.00807362689081275	0.05739578898345672	0	0	153.6	740.2218192098323	STAT3
