Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2018	lysosome (GO:0005764)	8/422	5.74318588247368e-08	2.2398424941647347e-06	0	0	19.89219425375032	331.6559238452833	FLCN;RRAGC;VPS11;LAMTOR2;LAMTOR3;VPS39;LAMTOR5;VPS16
GO_Cellular_Component_2018	lytic vacuole membrane (GO:0098852)	6/233	5.653552088238427e-07	1.1024426572064933e-05	0	0	24.85336689741976	357.53585418867965	VPS11;LAMTOR2;LAMTOR3;VPS39;LAMTOR5;VPS16
GO_Cellular_Component_2018	lysosomal membrane (GO:0005765)	6/291	2.0624081277373298e-06	2.681130566058529e-05	0	0	19.73734335839599	258.394120062975	VPS11;LAMTOR2;LAMTOR3;VPS39;LAMTOR5;VPS16
GO_Cellular_Component_2018	lytic vacuole (GO:0000323)	5/183	4.1627622903099094e-06	4.058693233052161e-05	0	0	25.274514811031665	313.1343473471225	FLCN;RRAGC;VPS11;LAMTOR5;VPS16
GO_Cellular_Component_2018	late endosome (GO:0005770)	4/140	3.561415430317833e-05	0.00027779040356479094	0	0	25.367007672634273	259.828359385621	VPS11;LAMTOR2;VPS39;VPS16
GO_Cellular_Component_2018	STAGA complex (GO:0030914)	2/11	9.580444389134388e-05	0.0006227288852937351	0	0	177.45777777777778	1642.052573193268	TAF6L;TAF5L
GO_Cellular_Component_2018	RNA polymerase II transcription factor complex (GO:0090575)	3/147	0.0009997586830523557	0.005570084091291696	0	0	17.21267361111111	118.90509121366688	TAF6L;STAT3;TAF5L
GO_Cellular_Component_2018	tertiary granule membrane (GO:0070821)	2/73	0.004347798807470599	0.021195519186419168	0	0	22.42478873239436	121.94792031249216	LAMTOR2;LAMTOR3
GO_Cellular_Component_2018	DNA-directed RNA polymerase II, holoenzyme (GO:0016591)	2/90	0.00653318376713719	0.025586222699087426	0	0	18.077272727272728	90.94424444214171	TAF6L;TAF5L
GO_Cellular_Component_2018	specific granule membrane (GO:0035579)	2/91	0.006674463737234843	0.025586222699087426	0	0	17.873258426966288	89.53548785071648	LAMTOR2;LAMTOR3
GO_Cellular_Component_2018	chromatin (GO:0000785)	3/296	0.007216626915127222	0.025586222699087426	0	0	8.395904436860068	41.40329129325225	MAU2;STAT3;POGZ
GO_Cellular_Component_2018	protein kinase complex (GO:1902911)	1/6	0.00807362689081275	0.02623928739514144	0	0	153.6	740.2218192098323	CAB39
GO_Cellular_Component_2018	SAGA complex (GO:0000124)	1/12	0.016084510729761806	0.04705177989445464	0	0	69.7972027972028	288.2553656873905	TAF6L
GO_Cellular_Component_2018	transcription factor TFTC complex (GO:0033276)	1/14	0.018740936449241897	0.04705177989445464	0	0	59.053254437869825	234.8574522333829	TAF5L
GO_Cellular_Component_2018	specific granule (GO:0042581)	2/160	0.01958295883285301	0.04705177989445464	0	0	10.032911392405063	39.46039903300171	LAMTOR2;LAMTOR3
GO_Cellular_Component_2018	cytoplasmic exosome (RNase complex) (GO:0000177)	1/15	0.02006655846437807	0.04705177989445464	0	0	54.83241758241758	214.32350391457592	DIS3L
GO_Cellular_Component_2018	tertiary granule (GO:0070820)	2/164	0.020509750210403303	0.04705177989445464	0	0	9.78320987654321	38.025917108323924	LAMTOR2;LAMTOR3
GO_Cellular_Component_2018	serine/threonine protein kinase complex (GO:1902554)	1/25	0.03322829009700652	0.07199462854351411	0	0	31.96955128205128	108.83565874121031	CAB39
GO_Cellular_Component_2018	early endosome (GO:0005769)	2/222	0.03588832267477755	0.07366550443770127	0	0	7.1829090909090905	23.900004510577467	VPS11;VPS16
GO_Cellular_Component_2018	nuclear chromatin (GO:0000790)	2/253	0.04546641256166385	0.08583661509069215	0	0	6.28589641434263	19.428331789400822	STAT3;POGZ
GO_Cellular_Component_2018	transcription factor TFIID complex (GO:0005669)	1/35	0.046219715818065006	0.08583661509069215	0	0	22.55542986425339	69.34325924679375	TAF6L
GO_Cellular_Component_2018	late endosome membrane (GO:0031902)	1/48	0.06285743806698686	0.11142909475511308	0	0	16.306055646481177	45.11699715873728	VPS39
GO_Cellular_Component_2018	nuclear transcription factor complex (GO:0044798)	1/71	0.09161117940546837	0.15534069551362026	0	0	10.935714285714283	26.13856581636218	STAT3
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	2/392	0.09760322871460346	0.1559336617257459	0	0	4.017025641025641	9.346994842742085	STAT3;POGZ
GO_Cellular_Component_2018	ribonucleoprotein granule (GO:0035770)	1/80	0.10262976996432173	0.1559336617257459	0	0	9.685491723466408	22.050254220070986	TAF5L
GO_Cellular_Component_2018	nucleoplasm part (GO:0044451)	2/407	0.10395577448383063	0.1559336617257459	0	0	3.865283950617284	8.750190055400934	TAF6L;MAU2
GO_Cellular_Component_2018	endocytic vesicle (GO:0030139)	1/108	0.13609289194887605	0.1965786217039321	0	0	7.140905823148813	14.241948234838473	VPS11
GO_Cellular_Component_2018	recycling endosome (GO:0055037)	1/119	0.14890756278622894	0.2064604889404041	0	0	6.4716427640156455	12.324787713854821	VPS16
GO_Cellular_Component_2018	ficolin-1-rich granule lumen (GO:1904813)	1/123	0.15352190203260818	0.2064604889404041	0	0	6.258196721311475	11.72731017149796	CAB39
