Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2018	vitamin D receptor binding (GO:0042809)	3/14	7.906985954531547e-07	4.5860518536282974e-05	0	0	226.8409090909091	3187.1939366214892	MED24;MED13;MED16
GO_Molecular_Function_2018	transcription coactivator activity (GO:0003713)	6/291	2.0624081277373298e-06	5.980983570438256e-05	0	0	19.73734335839599	258.394120062975	TADA2B;TAF6L;MED24;MED13;MED16;TAF5L
GO_Molecular_Function_2018	thyroid hormone receptor binding (GO:0046966)	3/26	5.5872975166230535e-06	0.00010802108532137905	0	0	108.42391304347828	1311.3888369808287	MED13;MED24;MED16
GO_Molecular_Function_2018	peptide-lysine-N-acetyltransferase activity (GO:0061733)	3/39	1.9411168418672713e-05	0.0002621725677541041	0	0	69.22569444444444	751.0753840739767	TADA2B;TAF6L;TAF5L
GO_Molecular_Function_2018	histone acetyltransferase activity (GO:0004402)	3/41	2.260108342707793e-05	0.0002621725677541041	0	0	65.57565789473685	701.4964340305722	TADA2B;TAF6L;TAF5L
GO_Molecular_Function_2018	nuclear hormone receptor binding (GO:0035257)	3/56	5.7983994550739355e-05	0.0005605119473238138	0	0	46.981132075471706	458.3170833658664	MED24;MED13;MED16
GO_Molecular_Function_2018	ligand-dependent nuclear receptor transcription coactivator activity (GO:0030374)	3/65	9.063240658853068e-05	0.0007509542260192544	0	0	40.14314516129032	373.6804439899353	MED24;MED13;MED16
GO_Molecular_Function_2018	kinase binding (GO:0019900)	4/418	0.002255051628906365	0.01634912430957115	0	0	8.216341104809914	50.07516798004754	CAB39;PDCD10;STAT3;MAP2K6
GO_Molecular_Function_2018	RNA polymerase II transcription cofactor activity (GO:0001104)	2/84	0.005714911952565837	0.036829432583202065	0	0	19.405853658536586	100.22495418367559	MED24;MED13
GO_Molecular_Function_2018	protein kinase regulator activity (GO:0019887)	2/107	0.009121523170406955	0.05290483438836033	0	0	15.137523809523811	71.10274274453705	CAB39;CCNC
GO_Molecular_Function_2018	RNA polymerase II transcription factor binding (GO:0001085)	2/121	0.011542879750812416	0.06086245686792	0	0	13.347226890756302	59.551142083009694	TAF6L;STAT3
GO_Molecular_Function_2018	protein serine/threonine kinase activity (GO:0004674)	3/368	0.013029516432085934	0.06297599608841535	0	0	6.715068493150685	29.14700996996428	CAB39;CCNC;MAP2K6
GO_Molecular_Function_2018	GTP binding (GO:0005525)	2/147	0.016698950569853408	0.07450301023473059	0	0	10.939586206896553	44.76926544340075	RRAGC;SEPHS1
GO_Molecular_Function_2018	purine ribonucleoside binding (GO:0032550)	2/159	0.019354125435898574	0.08018137680586554	0	0	10.097324840764331	39.832428681170136	RRAGC;SEPHS1
GO_Molecular_Function_2018	guanyl ribonucleotide binding (GO:0032561)	2/170	0.021933952359500984	0.08481128245673714	0	0	9.43095238095238	36.023592775713794	RRAGC;SEPHS1
GO_Molecular_Function_2018	protein kinase binding (GO:0019901)	3/495	0.0283771917111683	0.0963620412813189	0	0	4.949441056910569	17.63074829788239	PDCD10;STAT3;MAP2K6
GO_Molecular_Function_2018	protein kinase activity (GO:0004672)	3/513	0.031092006360894837	0.0963620412813189	0	0	4.770343137254902	16.556928537195056	CAB39;CCNC;MAP2K6
GO_Molecular_Function_2018	kinase activator activity (GO:0019209)	1/24	0.03191981578702488	0.0963620412813189	0	0	33.36120401337793	114.91361059553887	CAB39
GO_Molecular_Function_2018	mannosyltransferase activity (GO:0000030)	1/24	0.03191981578702488	0.0963620412813189	0	0	33.36120401337793	114.91361059553887	ALG1L2
GO_Molecular_Function_2018	exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	1/25	0.03322829009700652	0.0963620412813189	0	0	31.96955128205128	108.83565874121031	DIS3L
GO_Molecular_Function_2018	cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	1/27	0.03584013171184842	0.0979237813419738	0	0	29.507396449704146	98.22088743474232	CCNC
GO_Molecular_Function_2018	RNA polymerase II repressing transcription factor binding (GO:0001103)	1/28	0.037143503267645234	0.0979237813419738	0	0	28.413105413105413	93.56340148780022	STAT3
GO_Molecular_Function_2018	protein serine/threonine kinase activator activity (GO:0043539)	1/31	0.04104344635854745	0.09918832869982297	0	0	25.567948717948717	81.6416333934617	CAB39
GO_Molecular_Function_2018	3'-5'-exoribonuclease activity (GO:0000175)	1/31	0.04104344635854745	0.09918832869982297	0	0	25.567948717948717	81.6416333934617	DIS3L
GO_Molecular_Function_2018	RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	2/262	0.04840738590598029	0.11172640547076143	0	0	6.065538461538463	18.367074457075354	STAT3;PRDM1
GO_Molecular_Function_2018	3'-5' exonuclease activity (GO:0008408)	1/38	0.05008425072827236	0.11172640547076143	0	0	20.72349272349272	62.047145972273476	DIS3L
GO_Molecular_Function_2018	core promoter proximal region sequence-specific DNA binding (GO:0000987)	2/278	0.05380359939591688	0.11287793925115874	0	0	5.7092753623188415	16.684871448603694	STAT3;PRDM1
GO_Molecular_Function_2018	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	2/280	0.05449279825918008	0.11287793925115874	0	0	5.667625899280576	16.491015858847035	STAT3;PRDM1
GO_Molecular_Function_2018	RNA polymerase II activating transcription factor binding (GO:0001102)	1/47	0.061587599908768026	0.12317519981753608	0	0	16.661371237458194	46.44015222622338	TAF6L
GO_Molecular_Function_2018	GDP binding (GO:0019003)	1/51	0.06665703244937396	0.12887026273545632	0	0	15.325384615384614	41.50412577098693	RRAGC
GO_Molecular_Function_2018	repressing transcription factor binding (GO:0070491)	1/53	0.06918184933137322	0.1294370084264402	0	0	14.7344674556213	39.35600928291532	STAT3
GO_Molecular_Function_2018	protein kinase activator activity (GO:0030295)	1/55	0.07170008865913224	0.1299564106946772	0	0	14.187321937321936	37.38732875362038	CAB39
GO_Molecular_Function_2018	activating transcription factor binding (GO:0033613)	1/68	0.08790945005341633	0.15450751827570142	0	0	11.427095292766936	27.784387663217128	TAF6L
GO_Molecular_Function_2018	ubiquitin-like protein-specific protease activity (GO:0019783)	1/74	0.09529843961938217	0.15563708641534793	0	0	10.484720758693364	24.64687178715262	TADA2B
GO_Molecular_Function_2018	GTPase binding (GO:0051020)	1/76	0.09774860155754136	0.15563708641534793	0	0	10.204102564102564	23.728175066301322	RRAGC
GO_Molecular_Function_2018	syntaxin binding (GO:0019905)	1/77	0.09897128507986963	0.15563708641534793	0	0	10.069331983805668	23.289614920923057	VPS11
GO_Molecular_Function_2018	purine ribonucleoside triphosphate binding (GO:0035639)	2/396	0.0992857275408254	0.15563708641534793	0	0	3.9754314720812185	9.182266553775332	RRAGC;SEPHS1
GO_Molecular_Function_2018	protein phosphatase binding (GO:0019903)	1/92	0.11712118060654145	0.16629884621463464	0	0	8.403212172442943	18.021076299478864	STAT3
GO_Molecular_Function_2018	thiol-dependent ubiquitinyl hydrolase activity (GO:0036459)	1/92	0.11712118060654145	0.16629884621463464	0	0	8.403212172442943	18.021076299478864	TADA2B
GO_Molecular_Function_2018	DNA binding (GO:0003677)	3/893	0.11755170254330878	0.16629884621463464	0	0	2.680196629213483	5.737971373995503	TAF6L;MAU2;STAT3
GO_Molecular_Function_2018	transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001078)	1/97	0.12309252420037428	0.16629884621463464	0	0	7.963541666666668	16.68217820842729	PRDM1
GO_Molecular_Function_2018	double-stranded DNA binding (GO:0003690)	1/99	0.1254701557147521	0.16629884621463464	0	0	7.800235478806907	16.19085012410627	MAU2
GO_Molecular_Function_2018	transferase activity, transferring hexosyl groups (GO:0016758)	1/100	0.12665664230282664	0.16629884621463464	0	0	7.721056721056721	15.953830010816358	ALG1L2
GO_Molecular_Function_2018	RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	2/460	0.12726804352954227	0.16629884621463464	0	0	3.4087336244541486	7.026967464208089	STAT3;PRDM1
GO_Molecular_Function_2018	phosphatase binding (GO:0019902)	1/102	0.1290249668906648	0.16629884621463464	0	0	7.567402894135567	15.49614436945303	STAT3
GO_Molecular_Function_2018	magnesium ion binding (GO:0000287)	1/127	0.15811214564443912	0.1993587923342928	0	0	6.058302808302808	11.174240947502284	RRAGC
GO_Molecular_Function_2018	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001227)	1/159	0.19398105040680327	0.2393808707147785	0	0	4.823515092502435	7.910539683920624	PRDM1
GO_Molecular_Function_2018	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077)	1/175	0.21135907663920994	0.255392217605712	0	0	4.376436781609195	6.801844071495798	STAT3
GO_Molecular_Function_2018	protein homodimerization activity (GO:0042803)	2/664	0.22548154884776256	0.2668965272075557	0	0	2.3336555891238677	3.476019547711304	PDCD10;STAT3
GO_Molecular_Function_2018	GTPase activity (GO:0003924)	1/222	0.2603456291774341	0.2983744969729707	0	0	3.437521754263836	4.626028358657309	RRAGC
GO_Molecular_Function_2018	regulatory region DNA binding (GO:0000975)	1/224	0.2623637818210605	0.2983744969729707	0	0	3.4063470162124867	4.557771532631519	STAT3
GO_Molecular_Function_2018	actin binding (GO:0003779)	1/254	0.29200714004997635	0.3257002715942044	0	0	2.997871693523868	3.6903111779867546	VPS16
GO_Molecular_Function_2018	protein heterodimerization activity (GO:0046982)	1/265	0.3025862131598145	0.3311320823258348	0	0	2.871357808857809	3.432389654441672	RRAGC
GO_Molecular_Function_2018	kinase activity (GO:0016301)	1/280	0.3167671829285498	0.3379835326238194	0	0	2.714915908464296	3.1210353294167974	SEPHS1
GO_Molecular_Function_2018	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	1/284	0.32050162576396674	0.3379835326238194	0	0	2.675998912748029	3.0449333436587587	STAT3
GO_Molecular_Function_2018	transcription regulatory region DNA binding (GO:0044212)	1/374	0.3995129844107229	0.4137813052825345	0	0	2.0210352650030936	1.8543180705240223	STAT3
GO_Molecular_Function_2018	nucleoside-triphosphatase activity (GO:0017111)	1/424	0.4395044215487123	0.4472150254355318	0	0	1.7775959265320966	1.4613749458394518	RRAGC
GO_Molecular_Function_2018	metal ion binding (GO:0046872)	1/442	0.4532634014017596	0.4532634014017596	0	0	1.7034711320425606	1.3479258099642741	RRAGC
