Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	positive regulation of interferon-beta production (GO:0032728)	4/26	2.3416369575473064e-08	6.299003415802254e-06	0	0	181.4	3187.16725354343	RNF135;MAVS;IRF3;DDX58
GO_Biological_Process_2018	regulation of interferon-beta production (GO:0032648)	4/34	7.217682979865604e-08	9.707783607919237e-06	0	0	132.97333333333333	2186.633008429072	RNF135;MAVS;IRF3;DDX58
GO_Biological_Process_2018	negative regulation of type I interferon production (GO:0032480)	4/44	2.0959315964873008e-07	1.879351998183613e-05	0	0	99.68	1532.8887608230814	RNF135;MAVS;IRF3;DDX58
GO_Biological_Process_2018	regulation of interferon-alpha production (GO:0032647)	3/16	8.414650796656113e-07	4.567496925093266e-05	0	0	219.3736263736264	3068.6249005394866	MAVS;IRF3;DDX58
GO_Biological_Process_2018	positive regulation of type I interferon production (GO:0032481)	4/62	8.489771236232838e-07	4.567496925093266e-05	0	0	68.68275862068965	960.132326781974	RNF135;MAVS;IRF3;DDX58
GO_Biological_Process_2018	positive regulation of interferon-alpha production (GO:0032727)	3/19	1.452608327011821e-06	6.512527332769663e-05	0	0	178.21428571428572	2395.5831199572035	MAVS;IRF3;DDX58
GO_Biological_Process_2018	regulation of type I interferon production (GO:0032479)	4/85	3.0252974218023917e-06	0.0001162578580664062	0	0	49.12345679012346	624.2855071120937	RNF135;MAVS;IRF3;DDX58
GO_Biological_Process_2018	negative regulation of cytokine production (GO:0001818)	4/110	8.454974249554355e-06	0.00028429850914126517	0	0	37.49056603773585	437.9181399874876	RNF135;MAVS;IRF3;DDX58
GO_Biological_Process_2018	regulation of interferon-alpha secretion (GO:1902739)	2/6	2.063922922489771e-05	0.0005551952661497484	0	0	453.9090909090909	4896.9151445712	MAVS;DDX58
GO_Biological_Process_2018	positive regulation of interferon-alpha secretion (GO:1902741)	2/6	2.063922922489771e-05	0.0005551952661497484	0	0	453.9090909090909	4896.9151445712	MAVS;DDX58
GO_Biological_Process_2018	positive regulation of tumor necrosis factor secretion (GO:1904469)	2/11	7.540109655030561e-05	0.0018438995429120196	0	0	201.6868686868687	1914.5506673793325	MAVS;DDX58
GO_Biological_Process_2018	cellular response to exogenous dsRNA (GO:0071360)	2/13	0.00010677607900240272	0.0023935637709705283	0	0	165.0	1508.8881449240869	MAVS;DDX58
GO_Biological_Process_2018	positive regulation of response to cytokine stimulus (GO:0060760)	2/14	0.000124480947880634	0.0025757980753761964	0	0	151.24242424242425	1359.8747634320841	MAVS;DDX58
GO_Biological_Process_2018	regulation of tumor necrosis factor secretion (GO:1904467)	2/15	0.00014352676264691862	0.0027577642251443656	0	0	139.6013986013986	1235.3312463141472	MAVS;DDX58
GO_Biological_Process_2018	cellular response to dsRNA (GO:0071359)	2/16	0.00016391054960449906	0.002939462522907349	0	0	129.62337662337663	1129.8219412644196	MAVS;DDX58
GO_Biological_Process_2018	positive regulation of interleukin-6 secretion (GO:2000778)	2/17	0.00018562933966781003	0.0031208932731650557	0	0	120.97575757575756	1039.3945140111862	MAVS;DDX58
GO_Biological_Process_2018	protein deubiquitination (GO:0016579)	4/257	0.00023113972406956851	0.0034710967921766267	0	0	15.591304347826087	130.53801111658618	RNF135;MAVS;DDX58;IKBKG
GO_Biological_Process_2018	regulation of transcription factor import into nucleus (GO:0042990)	2/19	0.0002330600759952618	0.0034710967921766267	0	0	106.73262032085562	892.7345092435008	MAVS;DDX58
GO_Biological_Process_2018	protein modification by small protein removal (GO:0070646)	4/261	0.0002451704053953751	0.0034710967921766267	0	0	15.345525291828794	127.57590008270228	RNF135;MAVS;DDX58;IKBKG
GO_Biological_Process_2018	regulation of response to cytokine stimulus (GO:0060759)	2/20	0.00025876610708752327	0.0034804041403271877	0	0	100.79797979797979	832.5495793111635	MAVS;DDX58
GO_Biological_Process_2018	positive regulation of defense response to virus by host (GO:0002230)	2/21	0.00028579531119613086	0.0036609018434171055	0	0	95.48803827751196	779.2048032433584	MAVS;DDX58
GO_Biological_Process_2018	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	4/291	0.00037073898102888737	0.004533126631671395	0	0	13.720557491289199	108.39257291860571	FZR1;FBXW7;KLHL15;SEC61B
GO_Biological_Process_2018	TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	2/29	0.0005493106201692561	0.006328132085851345	0	0	67.16835016835017	504.2224932837275	IRF3;IKBKG
GO_Biological_Process_2018	regulation of defense response to virus by host (GO:0050691)	2/30	0.0005881163648560728	0.006328132085851345	0	0	64.76623376623378	481.76918229425104	MAVS;DDX58
GO_Biological_Process_2018	MyD88-independent toll-like receptor signaling pathway (GO:0002756)	2/30	0.0005881163648560728	0.006328132085851345	0	0	64.76623376623378	481.76918229425104	IRF3;IKBKG
GO_Biological_Process_2018	positive regulation of ubiquitin-protein transferase activity (GO:0051443)	2/31	0.000628216029972281	0.006499619694713215	0	0	62.529780564263326	461.00871434329	FZR1;FBXW7
GO_Biological_Process_2018	positive regulation of transcription factor import into nucleus (GO:0042993)	2/32	0.0006696067158070428	0.006671266909336833	0	0	60.44242424242425	441.7627997111452	MAVS;DDX58
GO_Biological_Process_2018	response to exogenous dsRNA (GO:0043330)	2/33	0.0007122855268112139	0.00684302881115059	0	0	58.489736070381234	423.87697178566015	MAVS;DDX58
GO_Biological_Process_2018	regulation of interleukin-8 production (GO:0032677)	2/34	0.000756249572304744	0.007014866722412971	0	0	56.65909090909091	407.21676844586153	MAVS;DDX58
GO_Biological_Process_2018	protein modification by small protein conjugation (GO:0032446)	4/398	0.0011972211145632801	0.01031937159651071	0	0	9.94010152284264	66.87453934698857	RNF135;FBXW7;KLHL15;FBXO11
