Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2018	calcium-transporting ATPase activity (GO:0005388)	2/14	0.000124480947880634	0.007095414029196139	0	0	151.24242424242425	1359.8747634320841	ATP13A1;ATP2B1
GO_Molecular_Function_2018	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662)	2/22	0.00031414474221255696	0.007121057961741055	0	0	90.7090909090909	731.6283882755846	ATP13A1;ATP2B1
GO_Molecular_Function_2018	ATPase coupled ion transmembrane transporter activity (GO:0042625)	2/24	0.0003747925243021608	0.007121057961741055	0	0	82.45454545454545	650.4952839948422	ATP13A1;ATP2B1
GO_Molecular_Function_2018	cation-transporting ATPase activity (GO:0019829)	2/29	0.0005493106201692561	0.0078276763374119	0	0	67.16835016835017	504.2224932837275	ATP13A1;ATP2B1
GO_Molecular_Function_2018	ubiquitin-protein transferase activity (GO:0004842)	4/417	0.0014218857538535387	0.016209497593930342	0	0	9.473607748184019	62.10680571388126	RNF135;FBXW7;KLHL15;FBXO11
GO_Molecular_Function_2018	calcium ion transmembrane transporter activity (GO:0015085)	2/77	0.003822254044657807	0.03631141342424917	0	0	24.12242424242424	134.2874845394686	ATP13A1;ATP2B1
GO_Molecular_Function_2018	ubiquitin protein ligase binding (GO:0031625)	3/284	0.004597974363003521	0.03710552407732549	0	0	10.012709710218607	53.8897997159004	FBXW7;DDX58;IKBKG
GO_Molecular_Function_2018	ubiquitin-like protein ligase binding (GO:0044389)	3/297	0.005207792852957963	0.03710552407732549	0	0	9.563654033041788	50.28185931161529	FBXW7;DDX58;IKBKG
GO_Molecular_Function_2018	cation transmembrane transporter activity (GO:0008324)	2/97	0.005993994778045582	0.03796196692762202	0	0	19.02488038277512	97.35025929294416	ATP13A1;ATP2B1
GO_Molecular_Function_2018	manganese ion transmembrane transporter activity (GO:0005384)	1/6	0.0071792448741713035	0.04092169578277643	0	0	173.66086956521735	857.2874884567655	ATP13A1
GO_Molecular_Function_2018	pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	1/8	0.009561342717827156	0.04954513953783162	0	0	124.03105590062113	576.7477724354015	SLC35A1
GO_Molecular_Function_2018	cytidylyltransferase activity (GO:0070567)	1/9	0.010750337464808102	0.05106410295783848	0	0	108.52173913043478	491.90930693624915	CMAS
GO_Molecular_Function_2018	arginine N-methyltransferase activity (GO:0016273)	1/10	0.011937964668319787	0.05234338354570985	0	0	96.45893719806764	427.12322672632035	FBXO11
GO_Molecular_Function_2018	protein-arginine N-methyltransferase activity (GO:0016274)	1/12	0.014309122256811024	0.05437466457588189	0	0	78.91304347826087	335.1324919763037	FBXO11
GO_Molecular_Function_2018	racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	1/12	0.014309122256811024	0.05437466457588189	0	0	78.91304347826087	335.1324919763037	GNE
GO_Molecular_Function_2018	carbohydrate kinase activity (GO:0019200)	1/13	0.015492655566166282	0.05486436356877145	0	0	72.33333333333333	301.441152263015	GNE
GO_Molecular_Function_2018	CARD domain binding (GO:0050700)	1/14	0.016674827177981324	0.05486436356877145	0	0	66.76588628762542	273.32986083800455	MAVS
GO_Molecular_Function_2018	phosphatidylinositol phosphate kinase activity (GO:0016307)	1/15	0.017855638565236642	0.05486436356877145	0	0	61.99378881987578	249.55202523941097	PIP4K2C
GO_Molecular_Function_2018	protein transmembrane transporter activity (GO:0008320)	1/16	0.019035091206061276	0.05486436356877145	0	0	57.85797101449276	229.20267994354347	SEC61B
GO_Molecular_Function_2018	Notch binding (GO:0005112)	1/17	0.020213186577968428	0.05486436356877145	0	0	54.23913043478261	211.60963296162686	NCOR2
GO_Molecular_Function_2018	ligand-dependent nuclear receptor binding (GO:0016922)	1/17	0.020213186577968428	0.05486436356877145	0	0	54.23913043478261	211.60963296162686	NCOR2
GO_Molecular_Function_2018	K63-linked polyubiquitin modification-dependent protein binding (GO:0070530)	1/20	0.023739343866497245	0.06150648183592468	0	0	45.66819221967963	170.827422984315	IKBKG
GO_Molecular_Function_2018	calcium-dependent cysteine-type endopeptidase activity (GO:0004198)	1/21	0.0249120249496479	0.0617384966143448	0	0	43.38260869565217	160.18614661402282	CAPN15
GO_Molecular_Function_2018	metal ion transmembrane transporter activity (GO:0046873)	1/25	0.029589265313707244	0.0702745051200547	0	0	36.14492753623188	127.2425658336615	ATP2B1
GO_Molecular_Function_2018	protein phosphorylated amino acid binding (GO:0045309)	1/34	0.04003457755707583	0.0912788368301329	0	0	26.27536231884058	84.55442492330164	FBXW7
GO_Molecular_Function_2018	divalent inorganic cation transmembrane transporter activity (GO:0072509)	1/38	0.04464227575868457	0.09535580406989627	0	0	23.43008225616921	72.84585913763358	ATP2B1
GO_Molecular_Function_2018	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	2/284	0.04516853876995087	0.09535580406989627	0	0	6.348807221147647	19.664506485321226	IRF3;IRF2
GO_Molecular_Function_2018	protein methyltransferase activity (GO:0008276)	1/41	0.04808413292751671	0.09681688168024236	0	0	21.669565217391305	65.76286224679887	FBXO11
GO_Molecular_Function_2018	polyubiquitin modification-dependent protein binding (GO:0031593)	1/43	0.050372099341792924	0.09681688168024236	0	0	20.635610766045552	61.66576382608654	IKBKG
GO_Molecular_Function_2018	single-stranded RNA binding (GO:0003727)	1/45	0.05265479529978093	0.09681688168024236	0	0	19.695652173913047	57.983959933751755	DDX58
GO_Molecular_Function_2018	P-P-bond-hydrolysis-driven transmembrane transporter activity (GO:0015405)	1/45	0.05265479529978093	0.09681688168024236	0	0	19.695652173913047	57.983959933751755	SEC61B
GO_Molecular_Function_2018	double-stranded RNA binding (GO:0003725)	1/59	0.06848706579454937	0.12044862711910673	0	0	14.93103448275862	40.031751417314474	DDX58
GO_Molecular_Function_2018	ubiquitin binding (GO:0043130)	1/62	0.0718465495096426	0.12044862711910673	0	0	14.194583036350675	37.377498142539395	IKBKG
GO_Molecular_Function_2018	PDZ domain binding (GO:0030165)	1/62	0.0718465495096426	0.12044862711910673	0	0	14.194583036350675	37.377498142539395	ATP2B1
GO_Molecular_Function_2018	cysteine-type peptidase activity (GO:0008234)	1/65	0.07519442056128409	0.12245948491409125	0	0	13.527173913043477	35.00397365710232	CAPN15
GO_Molecular_Function_2018	organic anion transmembrane transporter activity (GO:0008514)	1/70	0.0807485039378433	0.1278517979015852	0	0	12.54379332073094	31.565400257861327	SLC35A1
GO_Molecular_Function_2018	cysteine-type endopeptidase activity (GO:0004197)	1/81	0.09285518729033622	0.1430471804202477	0	0	10.81304347826087	25.699513172479282	CAPN15
GO_Molecular_Function_2018	histone deacetylase binding (GO:0042826)	1/85	0.09721961435239948	0.1458294215285992	0	0	10.296066252587991	23.99789406869696	NCOR2
GO_Molecular_Function_2018	RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	2/460	0.10458125665306983	0.1528495289544867	0	0	3.874156411274315	8.747035222680353	IRF3;IRF2
GO_Molecular_Function_2018	protein homodimerization activity (GO:0042803)	2/664	0.188719972438952	0.2645117121386616	0	0	2.652293326009338	4.422675223758086	IRF3;IKBKG
GO_Molecular_Function_2018	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077)	1/175	0.19026281048570395	0.2645117121386616	0	0	4.948025987006496	8.210501723622944	IRF3
GO_Molecular_Function_2018	peptidase activity, acting on L-amino acid peptides (GO:0070011)	1/185	0.20001438823815826	0.2714480983232148	0	0	4.676748582230624	7.526600036404114	CAPN15
GO_Molecular_Function_2018	RNA polymerase II regulatory region DNA binding (GO:0001012)	1/201	0.2153832216795367	0.28148194892733525	0	0	4.299130434782609	6.6006114924819785	IRF2
GO_Molecular_Function_2018	transcription corepressor activity (GO:0003714)	1/203	0.21728431145267985	0.28148194892733525	0	0	4.256134309083082	6.497195836752411	NCOR2
GO_Molecular_Function_2018	phosphotransferase activity, alcohol group as acceptor (GO:0016773)	1/254	0.26429718591453505	0.33186803844683543	0	0	3.389413988657845	4.510229150861972	GNE
GO_Molecular_Function_2018	RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	1/262	0.2714216730613289	0.33186803844683543	0	0	3.284191237714476	4.282853620949962	IRF3
