Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cytosolic DNA-sensing pathway	4/63	9.058099559714806e-07	4.575475363037224e-05	0	0	67.51525423728813	939.4367053438693	MAVS;IRF3;DDX58;IKBKG
KEGG_2019_Human	RIG-I-like receptor signaling pathway	4/70	1.3865076857688556e-06	4.575475363037224e-05	0	0	60.33333333333334	813.8195865266141	MAVS;IRF3;DDX58;IKBKG
KEGG_2019_Human	Epstein-Barr virus infection	5/201	3.5490463756966486e-06	7.807902026532625e-05	0	0	26.557465091299683	333.2651576084706	NCOR2;MAVS;IRF3;DDX58;IKBKG
KEGG_2019_Human	Measles	4/138	2.0711853263792293e-05	0.0003417455788525728	0	0	29.614925373134326	319.3911774739616	MAVS;IRF3;DDX58;IKBKG
KEGG_2019_Human	Hepatitis C	4/155	3.2675306241425815e-05	0.0004313140423868208	0	0	26.25827814569536	271.2188908754295	MAVS;IRF3;DDX58;IKBKG
KEGG_2019_Human	Hepatitis B	4/163	3.978296210922787e-05	0.00043761258320150666	0	0	24.927044025157233	252.56260044876316	MAVS;IRF3;DDX58;IKBKG
KEGG_2019_Human	Influenza A	3/171	0.0010891392138687376	0.01008607584807722	0	0	16.843537414965986	114.9128040433656	MAVS;IRF3;DDX58
KEGG_2019_Human	NOD-like receptor signaling pathway	3/178	0.0012225546482517845	0.01008607584807722	0	0	16.164081632653062	108.40946693622864	MAVS;IRF3;IKBKG
KEGG_2019_Human	Amino sugar and nucleotide sugar metabolism	2/48	0.0015050878441941053	0.011037310857423438	0	0	39.38735177865613	255.9746185849604	CMAS;GNE
KEGG_2019_Human	Herpes simplex virus 1 infection	4/492	0.002600131377713295	0.017160867092907747	0	0	7.986885245901639	47.53948489118705	MAVS;IRF3;DDX58;IKBKG
KEGG_2019_Human	NF-kappa B signaling pathway	2/95	0.005756502851391889	0.03453901710835133	0	0	19.435972629521014	100.23957371439215	DDX58;IKBKG
KEGG_2019_Human	Toll-like receptor signaling pathway	2/104	0.0068600290745940784	0.03773015991026743	0	0	17.71301247771836	88.24700043316875	IRF3;IKBKG
KEGG_2019_Human	Ubiquitin mediated proteolysis	2/137	0.011648508762921166	0.05913858295021515	0	0	13.36094276094276	59.490627910020386	FZR1;FBXW7
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	2/186	0.020759821390651037	0.09786772941306916	0	0	9.778656126482213	37.88970920634782	IRF3;IKBKG
KEGG_2019_Human	Viral carcinogenesis	2/201	0.023990407880605292	0.10555779467466332	0	0	9.034719049794427	33.70041637079752	IRF3;IKBKG
KEGG_2019_Human	Human immunodeficiency virus 1 infection	2/212	0.02648291971629431	0.10580708071412637	0	0	8.556709956709957	31.071598319277054	IRF3;IKBKG
KEGG_2019_Human	Protein export	1/23	0.027253338971820428	0.10580708071412637	0	0	39.43478260869565	142.06692893534887	SEC61B
KEGG_2019_Human	Human cytomegalovirus infection	2/225	0.029558826990609636	0.10838236563223533	0	0	8.052588666938442	28.356167232895693	IRF3;IKBKG
KEGG_2019_Human	Primary immunodeficiency	1/37	0.04349234219507745	0.15107866236184803	0	0	24.082125603864736	75.50156731119475	IKBKG
KEGG_2019_Human	Notch signaling pathway	1/48	0.056068982498469665	0.16354628488314926	0	0	18.435707678075854	53.1164542750393	NCOR2
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	1/48	0.056068982498469665	0.16354628488314926	0	0	18.435707678075854	53.1164542750393	ATP2B1
KEGG_2019_Human	Vibrio cholerae infection	1/50	0.05833855301300996	0.16354628488314926	0	0	17.68145519077196	50.2417155506286	SEC61B
KEGG_2019_Human	Human papillomavirus infection	2/330	0.059026225477276685	0.16354628488314926	0	0	5.445676274944566	15.410030054212505	IRF3;IKBKG
KEGG_2019_Human	Mineral absorption	1/51	0.059471376321145186	0.16354628488314926	0	0	17.32695652173913	48.901178953928365	ATP2B1
KEGG_2019_Human	Shigellosis	1/65	0.07519442056128409	0.1725933663838838	0	0	13.527173913043477	35.00397365710232	IKBKG
KEGG_2019_Human	Acute myeloid leukemia	1/66	0.07630780362012095	0.1725933663838838	0	0	13.318394648829429	34.26796400153892	IKBKG
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	1/68	0.07853071734192812	0.1725933663838838	0	0	12.919532770927965	32.870720562250014	IKBKG
KEGG_2019_Human	Adipocytokine signaling pathway	1/69	0.0796402508235888	0.1725933663838838	0	0	12.728900255754475	32.20711721652364	IKBKG
KEGG_2019_Human	B cell receptor signaling pathway	1/71	0.08185547811017073	0.1725933663838838	0	0	12.363975155279505	30.944557621408983	IKBKG
KEGG_2019_Human	Inositol phosphate metabolism	1/74	0.08516874100351647	0.1725933663838838	0	0	11.854079809410365	29.198030568281713	PIP4K2C
KEGG_2019_Human	Pancreatic cancer	1/75	0.08627061346912117	0.1725933663838838	0	0	11.693301997649824	28.65170329299039	IKBKG
KEGG_2019_Human	Chronic myeloid leukemia	1/76	0.0873712140350116	0.1725933663838838	0	0	11.5368115942029	28.122009760714388	IKBKG
KEGG_2019_Human	Pertussis	1/76	0.0873712140350116	0.1725933663838838	0	0	11.5368115942029	28.122009760714388	IRF3
KEGG_2019_Human	Salivary secretion	1/90	0.10264685505345644	0.1725933663838838	0	0	9.715192965315095	22.116255693070602	ATP2B1
KEGG_2019_Human	Th1 and Th2 cell differentiation	1/92	0.10480898464742984	0.1725933663838838	0	0	9.500716674629716	21.42996644691597	IKBKG
KEGG_2019_Human	IL-17 signaling pathway	1/93	0.1058881763859252	0.1725933663838838	0	0	9.396975425330814	21.099702511470607	IKBKG
KEGG_2019_Human	Small cell lung cancer	1/93	0.1058881763859252	0.1725933663838838	0	0	9.396975425330814	21.099702511470607	IKBKG
KEGG_2019_Human	Prostate cancer	1/97	0.11019248853743883	0.1725933663838838	0	0	9.003623188405797	19.857729958320643	IKBKG
KEGG_2019_Human	Aldosterone synthesis and secretion	1/98	0.11126545974097124	0.1725933663838838	0	0	8.910354101299868	19.565679904837808	ATP2B1
KEGG_2019_Human	Pancreatic secretion	1/98	0.11126545974097124	0.1725933663838838	0	0	8.910354101299868	19.565679904837808	ATP2B1
KEGG_2019_Human	Phosphatidylinositol signaling system	1/99	0.11233719097294506	0.1725933663838838	0	0	8.818988464951197	19.28051614969918	PIP4K2C
KEGG_2019_Human	Progesterone-mediated oocyte maturation	1/99	0.11233719097294506	0.1725933663838838	0	0	8.818988464951197	19.28051614969918	FZR1
KEGG_2019_Human	T cell receptor signaling pathway	1/101	0.1144769389479113	0.1725933663838838	0	0	8.641739130434782	18.72994882754533	IKBKG
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	1/103	0.11661174343015593	0.1725933663838838	0	0	8.471440750213128	18.20432388113094	IKBKG
KEGG_2019_Human	C-type lectin receptor signaling pathway	1/104	0.11767729526173898	0.1725933663838838	0	0	8.388771633600676	17.95037060748583	IKBKG
KEGG_2019_Human	Th17 cell differentiation	1/107	0.12086656552204235	0.17341724618379986	0	0	8.150123051681707	17.221765081771377	IKBKG
KEGG_2019_Human	TNF signaling pathway	1/110	0.12404478645351755	0.17419055119004595	0	0	7.924611088950938	16.539555634121136	IKBKG
KEGG_2019_Human	Toxoplasmosis	1/113	0.12721199471109496	0.17491649272775556	0	0	7.711180124223603	15.899684877362125	IKBKG
KEGG_2019_Human	Cell cycle	1/124	0.1387314605097311	0.18686278354371946	0	0	7.017674089784375	13.86141620257972	FZR1
KEGG_2019_Human	Osteoclast differentiation	1/127	0.14184775694773202	0.1872390391710063	0	0	6.849551414768807	13.377180287912381	IKBKG
KEGG_2019_Human	Fluid shear stress and atherosclerosis	1/139	0.15420522699655184	0.19955970552494945	0	0	6.250157529930687	11.684487753337775	IKBKG
KEGG_2019_Human	Apoptosis	1/143	0.15828635253325832	0.1996435640692206	0	0	6.072872014696878	11.19442576486264	IKBKG
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	1/145	0.16031983175255593	0.1996435640692206	0	0	5.987922705314009	10.961398554621582	ATP2B1
KEGG_2019_Human	Phagosome	1/152	0.16739999868483982	0.20459999839258206	0	0	5.708321336020732	10.20287733317767	SEC61B
KEGG_2019_Human	Cellular senescence	1/160	0.17542156339809034	0.21002945874288229	0	0	5.4189226141646145	9.43197765535086	LIN37
KEGG_2019_Human	Protein processing in endoplasmic reticulum	1/165	0.18039737468007488	0.21002945874288229	0	0	5.2523860021208915	8.995200678276463	SEC61B
KEGG_2019_Human	cGMP-PKG signaling pathway	1/166	0.1813890780052165	0.21002945874288229	0	0	5.220289855072464	8.911613987167629	ATP2B1
KEGG_2019_Human	Calcium signaling pathway	1/188	0.2029178475987033	0.22915185887806805	0	0	4.601023017902814	7.338420404589049	ATP2B1
KEGG_2019_Human	Chemokine signaling pathway	1/190	0.2048478738455457	0.22915185887806805	0	0	4.551874856222684	7.216941387652656	IKBKG
KEGG_2019_Human	cAMP signaling pathway	1/212	0.22578472386279025	0.2463224446763631	0	0	4.072738512260457	6.060940642399396	ATP2B1
KEGG_2019_Human	Regulation of actin cytoskeleton	1/214	0.2276616534130022	0.2463224446763631	0	0	4.034088589508063	5.970026437793035	PIP4K2C
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	1/219	0.23233491874151135	0.2473242683377379	0	0	3.9405664140406857	5.751553536224197	IKBKG
KEGG_2019_Human	Ras signaling pathway	1/232	0.2443589293687949	0.25599506886254697	0	0	3.716356107660456	5.2367809877405795	IKBKG
KEGG_2019_Human	MAPK signaling pathway	1/295	0.3001174498229132	0.3094961201298792	0	0	2.9106773144040226	3.5032370232646035	IKBKG
KEGG_2019_Human	PI3K-Akt signaling pathway	1/354	0.34874398934966194	0.3541092814935029	0	0	2.41692326641212	2.5460284935977997	IKBKG
KEGG_2019_Human	Pathways in cancer	1/530	0.4753131174006211	0.4753131174006211	0	0	1.5983397715131091	1.1888155489187149	IKBKG
