Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	TRAF6 mediated IRF7 activation Homo sapiens R-HSA-933541	5/32	3.1426429229360345e-10	4.119472635632031e-08	0	0	194.4346978557505	4254.384168135078	RNF135;MAVS;IRF3;DDX58;IRF2
Reactome_2016	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways Homo sapiens R-HSA-168928	6/79	3.9801667977121067e-10	4.119472635632031e-08	0	0	90.8812785388128	1967.0823055357998	RNF135;MAVS;IRF3;DDX58;IRF2;IKBKG
Reactome_2016	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10 Homo sapiens R-HSA-933543	4/12	7.840146523208636e-10	5.40970110101396e-08	0	0	499.2	10466.523428558747	RNF135;MAVS;DDX58;IKBKG
Reactome_2016	TRAF3-dependent IRF activation pathway Homo sapiens R-HSA-918233	4/14	1.5829372511181764e-09	8.191700274536566e-08	0	0	399.32	8091.813969507093	RNF135;MAVS;IRF3;DDX58
Reactome_2016	TRAF6 mediated NF-kB activation Homo sapiens R-HSA-933542	4/24	1.667021133489588e-08	6.901467492646896e-07	0	0	199.56	3574.0482498575752	RNF135;MAVS;DDX58;IKBKG
Reactome_2016	Negative regulators of RIG-I/MDA5 signaling Homo sapiens R-HSA-936440	4/34	7.217682979865604e-08	2.490100628053633e-06	0	0	132.97333333333333	2186.633008429072	RNF135;MAVS;IRF3;DDX58
Reactome_2016	Immune System Homo sapiens R-HSA-168256	10/1547	5.329094682591445e-06	0.00015758894275663275	0	0	8.569104935402919	104.04889296691236	RNF135;MAVS;FZR1;IRF3;FBXW7;DDX58;IRF2;SEC61B;PIP4K2C;IKBKG
Reactome_2016	Sialic acid metabolism Homo sapiens R-HSA-4085001	3/33	8.089443558921831e-06	0.0002093143520871024	0	0	94.98095238095236	1113.646975614803	SLC35A1;CMAS;GNE
Reactome_2016	Innate Immune System Homo sapiens R-HSA-168249	7/807	3.2156022757359685e-05	0.0007395885234192728	0	0	9.87	102.10426951488284	RNF135;MAVS;IRF3;DDX58;IRF2;PIP4K2C;IKBKG
Reactome_2016	Synthesis of substrates in N-glycan biosythesis Homo sapiens R-HSA-446219	3/63	5.750476445862841e-05	0.001190348624293608	0	0	47.41904761904761	462.9826406609124	SLC35A1;CMAS;GNE
Reactome_2016	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein Homo sapiens R-HSA-446193	3/78	0.00010887163260959316	0.0020487661772896166	0	0	37.906666666666666	345.9112614864893	SLC35A1;CMAS;GNE
Reactome_2016	Asparagine N-linked glycosylation Homo sapiens R-HSA-446203	4/259	0.00023808044502484878	0.00410688767667864	0	0	15.467450980392153	129.04342674627122	SLC35A1;COG7;CMAS;GNE
Reactome_2016	ZBP1(DAI) mediated induction of type I IFNs Homo sapiens R-HSA-1606322	2/26	0.00044068597769434493	0.007017076721748418	0	0	75.57575757575758	583.9873316414673	IRF3;IKBKG
Reactome_2016	Metabolism of proteins Homo sapiens R-HSA-392499	6/1074	0.0013802390694216918	0.019040099068909352	0	0	5.901373283395755	38.86348523684377	SLC35A1;COG7;CMAS;FBXW7;SEC61B;GNE
Reactome_2016	NOTCH1 Intracellular Domain Regulates Transcription Homo sapiens R-HSA-2122947	2/47	0.0014434314962566935	0.019040099068909352	0	0	40.26464646464647	263.3602622718241	NCOR2;FBXW7
Reactome_2016	Interferon Signaling Homo sapiens R-HSA-913531	3/196	0.0016118028739138385	0.019040099068909352	0	0	14.643227239082162	94.16183668540786	IRF3;DDX58;IRF2
Reactome_2016	Adaptive Immune System Homo sapiens R-HSA-1280218	5/762	0.0018418655492254152	0.019040099068909352	0	0	6.68115135924355	42.07105200336666	FZR1;FBXW7;SEC61B;PIP4K2C;IKBKG
Reactome_2016	Ion transport by P-type ATPases Homo sapiens R-HSA-936837	2/55	0.0019713124920084967	0.019040099068909352	0	0	34.17324185248714	212.86702757999905	ATP13A1;ATP2B1
Reactome_2016	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants Homo sapiens R-HSA-2894862	2/57	0.0021155665632121502	0.019040099068909352	0	0	32.92727272727273	202.78039057539715	NCOR2;FBXW7
Reactome_2016	Signaling by NOTCH1 in Cancer Homo sapiens R-HSA-2644603	2/57	0.0021155665632121502	0.019040099068909352	0	0	32.92727272727273	202.78039057539715	NCOR2;FBXW7
Reactome_2016	Signaling by NOTCH1 PEST Domain Mutants in Cancer Homo sapiens R-HSA-2644602	2/57	0.0021155665632121502	0.019040099068909352	0	0	32.92727272727273	202.78039057539715	NCOR2;FBXW7
Reactome_2016	Constitutive Signaling by NOTCH1 PEST Domain Mutants Homo sapiens R-HSA-2644606	2/57	0.0021155665632121502	0.019040099068909352	0	0	32.92727272727273	202.78039057539715	NCOR2;FBXW7
Reactome_2016	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer Homo sapiens R-HSA-2894858	2/57	0.0021155665632121502	0.019040099068909352	0	0	32.92727272727273	202.78039057539715	NCOR2;FBXW7
Reactome_2016	Cytosolic sensors of pathogen-associated DNA Homo sapiens R-HSA-1834949	2/66	0.002824642125521089	0.023920207936621214	0	0	28.28409090909091	166.0098965847709	IRF3;IKBKG
Reactome_2016	Interferon alpha/beta signaling Homo sapiens R-HSA-909733	2/68	0.0029954011693546405	0.023920207936621214	0	0	27.424242424242426	159.35341771425578	IRF3;IRF2
Reactome_2016	Post-translational protein modification Homo sapiens R-HSA-597592	4/521	0.003196475233453868	0.023920207936621214	0	0	7.5276595744680845	43.25172304218551	SLC35A1;COG7;CMAS;GNE
Reactome_2016	Signaling by NOTCH1 Homo sapiens R-HSA-1980143	2/72	0.0033511402423285763	0.023920207936621214	0	0	25.851948051948053	147.31615281815118	NCOR2;FBXW7
Reactome_2016	ISG15 antiviral mechanism Homo sapiens R-HSA-1169408	2/72	0.0033511402423285763	0.023920207936621214	0	0	25.851948051948053	147.31615281815118	IRF3;DDX58
Reactome_2016	Antiviral mechanism by IFN-stimulated genes Homo sapiens R-HSA-1169410	2/72	0.0033511402423285763	0.023920207936621214	0	0	25.851948051948053	147.31615281815118	IRF3;DDX58
Reactome_2016	Interferon gamma signaling Homo sapiens R-HSA-877300	2/93	0.005523469793486455	0.03265149786987988	0	0	19.865134865134863	103.27385061876377	IRF3;IRF2
Reactome_2016	Class I MHC mediated antigen processing & presentation Homo sapiens R-HSA-983169	3/305	0.005606275666806743	0.03265149786987988	0	0	9.306527909176916	48.243818305204115	FZR1;FBXW7;SEC61B
Reactome_2016	Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	4/620	0.0059315386254590215	0.03265149786987988	0	0	6.2857142857142865	32.22982170548413	IRF3;DDX58;IRF2;IKBKG
Reactome_2016	Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling Homo sapiens R-HSA-2644607	1/5	0.005986138987596017	0.03265149786987988	0	0	217.08695652173915	1111.118047594182	FBXW7
Reactome_2016	FBXW7 Mutants and NOTCH1 in Cancer Homo sapiens R-HSA-2644605	1/5	0.005986138987596017	0.03265149786987988	0	0	217.08695652173915	1111.118047594182	FBXW7
Reactome_2016	LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production Homo sapiens R-HSA-3134973	1/5	0.005986138987596017	0.03265149786987988	0	0	217.08695652173915	1111.118047594182	IRF3
Reactome_2016	MyD88-independent TLR3/TLR4 cascade Homo sapiens R-HSA-166166	2/97	0.005993994778045582	0.03265149786987988	0	0	19.02488038277512	97.35025929294416	IRF3;IKBKG
Reactome_2016	Toll Like Receptor 3 (TLR3) Cascade Homo sapiens R-HSA-168164	2/97	0.005993994778045582	0.03265149786987988	0	0	19.02488038277512	97.35025929294416	IRF3;IKBKG
Reactome_2016	TRIF-mediated TLR3/TLR4 signaling Homo sapiens R-HSA-937061	2/97	0.005993994778045582	0.03265149786987988	0	0	19.02488038277512	97.35025929294416	IRF3;IKBKG
Reactome_2016	IRF3 mediated activation of type 1 IFN Homo sapiens R-HSA-1606341	1/6	0.0071792448741713035	0.03715259222383649	0	0	173.66086956521735	857.2874884567655	IRF3
Reactome_2016	Phosphorylation of Emi1 Homo sapiens R-HSA-176417	1/6	0.0071792448741713035	0.03715259222383649	0	0	173.66086956521735	857.2874884567655	FZR1
Reactome_2016	Activated TLR4 signalling Homo sapiens R-HSA-166054	2/112	0.007915212801767303	0.039962171950386136	0	0	16.418181818181818	79.44706793117858	IRF3;IKBKG
Reactome_2016	IkBA variant leads to EDA-ID Homo sapiens R-HSA-5603029	1/7	0.00837097899164431	0.04125696788738981	0	0	144.71014492753622	692.1463710595567	IKBKG
Reactome_2016	Signaling by NOTCH Homo sapiens R-HSA-157118	2/122	0.009330419066769229	0.043317396420271936	0	0	15.042424242424245	70.31544131160264	NCOR2;FBXW7
Reactome_2016	Toll Like Receptor 4 (TLR4) Cascade Homo sapiens R-HSA-166016	2/122	0.009330419066769229	0.043317396420271936	0	0	15.042424242424245	70.31544131160264	IRF3;IKBKG
Reactome_2016	IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR) Homo sapiens R-HSA-5603027	1/8	0.009561342717827156	0.043317396420271936	0	0	124.03105590062113	576.7477724354015	IKBKG
Reactome_2016	S Phase Homo sapiens R-HSA-69242	2/124	0.009626088093393765	0.043317396420271936	0	0	14.794336810730258	68.69422391253094	FZR1;PDS5A
