#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BTAF1	TAF6L	9606.ENSP00000265990	9606.ENSP00000294168	0	0	0	0	0	0.126	0	0.344	0.402
BTAF1	MED13	9606.ENSP00000265990	9606.ENSP00000380888	0	0	0	0	0.660	0	0	0.239	0.730
CCNC	MED16	9606.ENSP00000428982	9606.ENSP00000325612	0	0	0	0	0.063	0.807	0.900	0.451	0.988
CCNC	MED24	9606.ENSP00000428982	9606.ENSP00000377686	0	0	0	0	0.063	0.818	0.900	0.419	0.988
CCNC	MED13	9606.ENSP00000428982	9606.ENSP00000380888	0	0	0	0	0.077	0.876	0.900	0.897	0.998
FLCN	LAMTOR5	9606.ENSP00000285071	9606.ENSP00000256644	0	0	0	0	0	0	0	0.421	0.420
FLCN	VPS39	9606.ENSP00000285071	9606.ENSP00000335193	0	0	0	0	0	0	0	0.517	0.517
FLCN	LAMTOR3	9606.ENSP00000285071	9606.ENSP00000424183	0	0	0	0	0	0.214	0	0.417	0.522
FLCN	RRAGC	9606.ENSP00000285071	9606.ENSP00000362092	0	0	0	0	0.063	0.262	0.800	0.835	0.974
LAMTOR2	LAMTOR5	9606.ENSP00000357288	9606.ENSP00000256644	0	0	0	0	0.116	0.998	0.900	0.702	0.999
LAMTOR2	VPS39	9606.ENSP00000357288	9606.ENSP00000335193	0	0	0	0	0.054	0	0	0.416	0.423
LAMTOR2	LAMTOR3	9606.ENSP00000357288	9606.ENSP00000424183	0	0	0	0	0.588	0.998	0.900	0.916	0.999
LAMTOR2	RRAGC	9606.ENSP00000357288	9606.ENSP00000362092	0	0	0	0	0.073	0.999	0.900	0.715	0.999
LAMTOR3	LAMTOR5	9606.ENSP00000424183	9606.ENSP00000256644	0	0	0	0	0.136	0.998	0.900	0.732	0.999
LAMTOR3	VPS39	9606.ENSP00000424183	9606.ENSP00000335193	0	0	0	0	0.069	0	0	0.426	0.442
LAMTOR3	RRAGC	9606.ENSP00000424183	9606.ENSP00000362092	0	0	0	0	0.094	0.999	0.900	0.681	0.999
LAMTOR5	RRAGC	9606.ENSP00000256644	9606.ENSP00000362092	0	0	0	0	0.061	0.999	0.900	0.669	0.999
MED13	MED16	9606.ENSP00000380888	9606.ENSP00000325612	0	0	0	0	0.062	0.912	0.900	0.551	0.995
MED13	MED24	9606.ENSP00000380888	9606.ENSP00000377686	0	0	0	0	0	0.936	0.900	0.536	0.996
MED16	MED24	9606.ENSP00000325612	9606.ENSP00000377686	0	0	0	0	0.143	0.831	0.900	0.700	0.995
PRDM1	STAT3	9606.ENSP00000358092	9606.ENSP00000264657	0	0	0	0	0	0	0	0.729	0.730
RRAGC	VPS39	9606.ENSP00000362092	9606.ENSP00000335193	0	0	0	0	0.048	0	0	0.765	0.767
TADA2B	TAF5L	9606.ENSP00000308022	9606.ENSP00000258281	0	0	0	0	0.062	0.886	0.900	0.439	0.993
TADA2B	TAF6L	9606.ENSP00000308022	9606.ENSP00000294168	0	0	0	0	0.061	0.873	0.900	0.509	0.993
TAF5L	TAF6L	9606.ENSP00000258281	9606.ENSP00000294168	0	0	0	0	0.162	0.904	0.900	0.712	0.997
VPS11	VPS39	9606.ENSP00000481126	9606.ENSP00000335193	0	0	0	0	0.451	0.897	0.900	0.920	0.999
VPS11	VPS16	9606.ENSP00000481126	9606.ENSP00000369810	0	0	0	0	0.237	0.913	0.900	0.936	0.999
VPS16	VPS39	9606.ENSP00000369810	9606.ENSP00000335193	0	0	0	0	0.218	0.692	0.900	0.936	0.998
